name,child,aged,city,birth rate,income,industry,unemployment,dual income,,,,,,,,
全国,0.15815588,0.291318194,3.29670763,1.26,4393,93.6,3.8,23.71,,,,,,,,
北海道　　　　,0.142183818,0.330322074,0.956945367,1.12,3753.7,90.6,4.2,20.71,,,,,,,,
青森県　　　　,0.140202703,0.352195946,1.624970202,1.24,3451.6,86.8,4.6,26.99,,,,,,,,
岩手県　　　　,0.145313844,0.349097163,0.560660802,1.21,3521.1,88.7,3.8,28.7,,,,,,,,
宮城県　　　　,0.155477032,0.292844523,3.177045656,1.09,4048.6,93.3,4.3,24.59,,,,,,,,
秋田県　　　　,0.129102845,0.388402626,0.746548216,1.18,3586.7,89.7,4.1,29.38,,,,,,,,
山形県　　　　,0.151072125,0.352826511,1.211046685,1.32,3547.4,89.5,3.4,34.4,,,,,,,,
福島県　　　　,0.151669496,0.33163554,1.274371521,1.27,3781.5,90.8,4.1,27.37,,,,,,,,
茨城県　　　　,0.155752212,0.30619469,3.79734168,1.27,4313.2,91.9,3.9,26.72,,,,,,,,
栃木県　　　　,0.156562994,0.302055878,2.780933417,1.24,4213.4,92.1,4.1,27.39,,,,,,,,
群馬県　　　　,0.156677182,0.309674027,3.064515115,1.32,4047.6,92.8,3.8,28.41,,,,,,,,
埼玉県　　　　,0.157413723,0.274450962,17.63279172,1.17,4336,95.2,4,24.26,,,,,,,,
千葉県　　　　,0.155985296,0.280645677,11.94777539,1.18,4363.8,94.1,3.8,23.13,,,,,,,,
東京都　　　　,0.145889536,0.227530882,48.78778179,1.04,5235.5,95.7,3.6,17.43,,,,,,,,
神奈川県　　　,0.155054719,0.259074656,38.77147151,1.17,4766,96,3.7,21.87,,,,,,,,
新潟県　　　　,0.15098777,0.338664158,1.78670632,1.27,3829.4,92.8,3.6,31.03,,,,,,,,
富山県　　　　,0.152929494,0.330685204,2.494572921,1.46,3946,94.9,3.1,32.83,,,,,,,,
石川県　　　　,0.163210099,0.303877367,2.460324666,1.38,3968.3,95.3,3.4,29.99,,,,,,,,
福井県　　　　,0.169354839,0.314516129,1.737749925,1.5,4001.1,94.7,2.9,34.69,,,,,,,,
山梨県　　　　,0.155778894,0.316582915,1.414216515,1.4,4072.5,91.6,3.9,29.25,,,,,,,,
長野県　　　　,0.159680639,0.326846307,1.282349495,1.43,4016,89.4,3.3,31.4,,,,,,,,
岐阜県　　　　,0.164163646,0.312273433,1.689724085,1.36,4157.9,95,3.3,30.87,,,,,,,,
静岡県　　　　,0.159493671,0.309423347,5.268103442,1.33,4170.2,94.9,3.8,29,,,,,,,,
愛知県　　　　,0.170790424,0.257054969,17.18400881,1.35,4477.8,95.2,3.3,25.84,,,,,,,,
三重県　　　　,0.161551824,0.306890562,3.060556748,1.4,4289,93.4,3.1,27.63,,,,,,,,
滋賀県　　　　,0.179104478,0.270788913,2.424975606,1.43,4352.6,94.4,3.4,28.53,,,,,,,,
京都府　　　　,0.154240631,0.297435897,5.525326581,1.18,4324.4,94.5,4.1,20.57,,,,,,,,
大阪府　　　　,0.155882689,0.276617597,47.43932462,1.22,4618.5,95.3,4.5,18.75,,,,,,,,
兵庫県　　　　,0.163128492,0.299441341,6.645948596,1.31,4445.1,94.7,4,22.79,,,,,,,,
奈良県　　　　,0.157407407,0.327160494,3.71218258,1.25,4347.4,94.5,4.1,24.07,,,,,,,,
和歌山県　　　,0.153587444,0.341928251,1.914274529,1.39,4080,88.5,3.9,25.77,,,,,,,,
鳥取県　　　　,0.167597765,0.333333333,1.276242669,1.6,3669.4,89.4,3.5,30,,,,,,,,
島根県　　　　,0.166153846,0.349230769,0.655853556,1.57,3687.9,90.9,2.7,31.22,,,,,,,,
岡山県　　　　,0.165132648,0.31023281,2.769071994,1.39,4052,92.8,3.6,25.73,,,,,,,,
広島県　　　　,0.167640614,0.301314828,3.586667374,1.4,4206.9,94.3,3.4,24.96,,,,,,,,
山口県　　　　,0.154083205,0.353620955,3.393367101,1.47,4027.2,94,3.5,24.06,,,,,,,,
徳島県　　　　,0.148201439,0.353956835,1.338206557,1.42,3855.5,89.8,4.2,25.92,,,,,,,,
香川県　　　　,0.159827214,0.326133909,4.151651492,1.45,3972.8,92.3,3.5,26.45,,,,,,,,
愛媛県　　　　,0.154918668,0.340821069,2.645951003,1.39,3759.3,90.7,3.7,23.79,,,,,,,,
高知県　　　　,0.147147147,0.363363363,0.813269038,1.36,3703.2,86.7,4.1,23.38,,,,,,,,
福岡県　　　　,0.172055654,0.284342544,11.21200722,1.33,4188.1,94.3,4.6,21.6,,,,,,,,
佐賀県　　　　,0.178616352,0.316981132,2.129360495,1.53,3758.2,90.4,3.6,30.93,,,,,,,,
長崎県　　　　,0.165745856,0.344119968,2.932480378,1.57,3760.9,91,3.8,26,,,,,,,,
熊本県　　　　,0.174370977,0.322995904,1.942277354,1.52,3785.1,89.2,3.9,27.55,,,,,,,,
大分県　　　　,0.160583942,0.341240876,1.789689759,1.49,3835.5,92,4.2,25.44,,,,,,,,
宮崎県　　　　,0.173704415,0.336852207,1.436181216,1.63,3469.2,88.2,4,26.52,,,,,,,,
鹿児島県　　　,0.17236927,0.338282763,1.396147261,1.54,3586,89.9,4,24.89,,,,,,,,
沖縄県　　　　,0.214577657,0.23773842,5.340113591,1.7,3511.2,91.9,5.5,20.64,,,,,,,,
